sku|name|price|stock
|Złota sztabka Au999.9 Argor-Heraeus - 1 g Kinebar|360.03|37
|Złota sztabka Au999.9 Argor-Heraeus - 2 g Kinebar|670.86|29
|Złota sztabka Au999.9 Argor-Heraeus - 5g Kinebar|1563.81|20
|Złota sztabka Au999.9 Argor-Heraeus - 10g Kinebar|3034.01|10
|Złota sztabka Au999.9 Argor-Heraeus - 20g Kinebar|5984.27|10
|Złota sztabka Au999.9 Argor-Heraeus - 31,1 g kinebar|9234.95|10
|Złota sztabka Au999.9 Argor-Heraeus - 50 g - lana|14743.85|1
|Złota sztabka Au999,9 Heraeus / Argor-Heraeus 100g - bita|29369.47|10
|Złota sztabka Au999,9 Heraeus - 250g - lana|73608.36|10
|Złota sztabka Au999,9 Heraeus - 500g - lana|146724.07|8
|Złota sztabka Au999,9 Heraeus - 1000g - lana|293669.79|6
|Złota sztabka Au999.9 PAMP - 1 g|364.96|5
|Złota sztabka Au999.9 PAMP - 2,5 g|845.95|3
|Złota sztabka Au999.9 PAMP - 5 g|1608.15|3
|Złota sztabka Au999.9 PAMP - 10 g|3073.42|2
|Złota sztabka Au999.9 PAMP - 20 g|6050.78|4
|Złota sztabka Au999.9 PAMP - 31,1 g|9385.71|10
|Złota sztabka Au999.9 PAMP - Rose 31,1g|9540.41|6
|Australia 2023 - Australia's Coat of Arms - Queensland Au999.9 1oz BU|9532.47|30
|Złota sztabka Au999.9 Valcambi - 10x1/10 oz CombiBar (Multicard)|9648.79|3
|Złota sztabka Au999.9 Valcambi - 50 g|14753.71|18
|Złota sztabka Au999.9 Valcambi - 100 g (porysowany Certipack)|29315.28|1
|Allegories: Polonia & Germania 2 oz Silver BU|454.48|59
|2023 Germania 2 oz Silver BU|480.90|37
|Allegories: Polonia & Germania 5 oz Silver BU|1387.68|15
|Allegories: Polonia & Germania 10 oz Silver BU|2696.59|10
|2023 Germania 10 oz Silver BU|2004.57|60
|Niue 2023 - Azure Kingfisher Ag999 1 oz Proof|468.03|3
|St. Helena 2023 - Goddesses - Eos Ag999 1 oz Proof|403.99|13
|RPA 2023 - Krugerrand Ag999 1 oz BU|135.19|3950
|Cambodia 2023 - Asian Elephant Ag999 1 oz BU|156.62|120
|2023 - 7 Wonders of the World - Mausoleum at Halicarnassus Ag999 1 oz BU|153.16|140
|Armenia 2023 - Noah's Ark Ag999 1/4 oz BU|44.09|460
|Armenia 2023 - Noah's Ark Ag999 1/2 oz BU|73.35|380
|Ukraine 2023 - Archangel Michael Ag999.9 1 oz SU|330.09|104
|Australia 2023 - Ningaloo Eclipse Ag999.9 2 oz colorized|734.07|15
|Sierra Leone 2023 - Egyptian Gods - Isis Ag999 1oz BU|157.60|200
|Sierra Leone 2023 - Egyptian Gods - Isis Ag999 2 oz Proof Colorized|753.77|9
|Great Britain 2023 - Myths and Legends - Merlin Ag999 1 oz Proof|438.47|15
|Australia 2023 - Australia's Coat of Arms - Queensland Ag999 1oz BU|154.15|570
